Name,License_No,Area,Police_Station,Address,Gun_Type,Weapon_Model,Issue_Date,Expiry_Date,Status,Mobile,Gender,DOB,Remarks
Lakshit Sarna,MP-BPL-2022-178465,Bagsewaniya,Bagsewaniya Police Station,"71/470, Brahmbhatt Circle, Bagsewaniya, Bhopal, Madhya Pradesh",Revolver,.22 Rifle,2023-07-28,2033-07-28,Submitted,+913590960567,Male,1969-02-05,Due to election
Lakshit Vig,MP-BPL-2019-373668,Arera Colony,Arera Colony Police Station,"H.No. 644, Barman Street, Piplani, Bhopal, Madhya Pradesh",Rifle,12 Bore DBBL,2017-12-26,2027-12-26,Active,+914614768342,Male,1958-03-26,
Aaryahi Garg,MP-BPL-2012-312559,Koh-e-Fiza,Koh-e-Fiza Police Station,"H.No. 23, Kadakia Path, Bagsewaniya, Bhopal, Madhya Pradesh",Revolver,9mm Pistol,2023-10-08,2033-10-08,Active,08265960893,Female,1959-11-14,
Samarth Salvi,MP-BPL-2024-429287,Indrapuri,Indrapuri Police Station,"50/272, Venkatesh Chowk, Shahpura, Bhopal, Madhya Pradesh",Air Gun,12 Bore DBBL,2020-12-16,2030-12-16,Revoked,+916480727910,Male,1969-06-14,Due to festival
Aaina Sarin,MP-BPL-2019-585854,Bairagarh,Bairagarh Police Station,"29/63, Cheema Path, Shahpura, Bhopal, Madhya Pradesh",Revolver,9mm Pistol,2018-10-29,2028-10-29,Expired,9055044817,Female,1998-09-25,Due to order
Zain Jha,MP-BPL-2011-325465,Arera Colony,Arera Colony Police Station,"H.No. 58, Lal Marg, Koh-e-Fiza, Bhopal, Madhya Pradesh",Revolver,9mm Pistol,2021-04-15,2031-04-15,Revoked,+912765289286,Female,1980-07-16,Due to order
Nirvi Sankaran,MP-BPL-2011-810078,Govindpura,Govindpura Police Station,"64/911, Basu Zila, Bairagarh, Bhopal, Madhya Pradesh",Pistol,.32 Bore Pistol,2015-11-09,2025-11-09,Revoked,6179817890,Female,2000-01-06,Due to order
Aaina Cherian,MP-BPL-2017-199326,Patel Nagar,Patel Nagar Police Station,"786, Chaudhari Zila, Shahpura, Bhopal, Madhya Pradesh",Pistol,.32 Bore Pistol,2023-07-25,2033-07-25,Active,+915766053844,Male,1999-05-26,
Ryan Tripathi,MP-BPL-2014-307757,Piplani,Piplani Police Station,"30, Babu Marg, Habibganj, Bhopal, Madhya Pradesh",Revolver,.38 Revolver,2015-11-03,2025-11-03,Active,+912589552963,Male,1992-05-23,
Kartik Randhawa,MP-BPL-2010-167603,Jahangirabad,Jahangirabad Police Station,"60/962, Seth Marg, Patel Nagar, Bhopal, Madhya Pradesh",Pistol,.32 Bore Pistol,2018-07-13,2028-07-13,Expired,05826312819,Female,1981-04-02,Due to election
Ishita Buch,MP-BPL-2011-583388,MP Nagar,MP Nagar Police Station,"H.No. 31, Arya Zila, BHEL, Bhopal, Madhya Pradesh",Air Gun,.22 Rifle,2023-01-07,2033-01-07,Expired,+919209819602,Female,1985-06-13,Due to festival
Kabir Dar,MP-BPL-2010-501320,Indrapuri,Indrapuri Police Station,"34/383, Solanki Marg, BHEL, Bhopal, Madhya Pradesh",Rifle,9mm Pistol,2020-01-03,2030-01-03,Expired,0412091179,Female,1962-12-04,Due to festival
Hridaan Dhaliwal,MP-BPL-2024-255851,MP Nagar,MP Nagar Police Station,"H.No. 21, Kota Zila, Karond, Bhopal, Madhya Pradesh",Air Gun,.38 Revolver,2021-09-21,2031-09-21,Active,+916170617136,Female,1980-02-10,
Myra Kar,MP-BPL-2025-532005,Chhola Road,Chhola Road Police Station,"240, Sahni Street, Ayodhya Nagar, Bhopal, Madhya Pradesh",Revolver,.32 Bore Pistol,2016-02-10,2026-02-10,Active,+915579980284,Male,1962-11-07,
Mahika Aurora,MP-BPL-2023-309146,Berasia,Berasia Police Station,"08/82, Verma Ganj, Ashoka Garden, Bhopal, Madhya Pradesh",Air Gun,.32 Bore Pistol,2021-10-13,2031-10-13,Revoked,+913052312447,Female,1968-02-19,Due to festival
Stuvan Sathe,MP-BPL-2025-460745,Bagsewaniya,Bagsewaniya Police Station,"47/76, Iyengar Circle, Berasia, Bhopal, Madhya Pradesh",Rifle,.22 Rifle,2018-11-10,2028-11-10,Active,02346199423,Male,1987-10-10,
Alia Kakar,MP-BPL-2020-726121,Ashoka Garden,Ashoka Garden Police Station,"45/91, Handa, TT Nagar, Bhopal, Madhya Pradesh",Rifle,.32 Bore Pistol,2022-11-17,2032-11-17,Expired,+919551720849,Female,1982-06-18,Due to order
Lavanya Thaker,MP-BPL-2021-904092,Bagsewaniya,Bagsewaniya Police Station,"85/601, Tailor Street, Ashoka Garden, Bhopal, Madhya Pradesh",Pistol,.32 Bore Pistol,2021-01-24,2031-01-24,Active,02531355251,Male,1955-03-26,
Prisha Ahluwalia,MP-BPL-2018-659614,MP Nagar,MP Nagar Police Station,"53/795, Mand Ganj, Ashoka Garden, Bhopal, Madhya Pradesh",Air Gun,.22 Rifle,2016-09-13,2026-09-13,Active,04938318491,Male,1993-08-19,
Pihu Shukla,MP-BPL-2015-348041,Bagsewaniya,Bagsewaniya Police Station,"55, Chaudhari Ganj, Arera Colony, Bhopal, Madhya Pradesh",Rifle,.38 Revolver,2016-06-02,2026-06-02,Active,07046117295,Female,1994-10-21,
Miraan Mani,MP-BPL-2014-690462,Jahangirabad,Jahangirabad Police Station,"H.No. 409, Kashyap Nagar, Ayodhya Nagar, Bhopal, Madhya Pradesh",Air Gun,12 Bore DBBL,2020-05-30,2030-05-30,Active,+916088050171,Male,1982-10-27,
Raghav Dutt,MP-BPL-2012-158896,Ashoka Garden,Ashoka Garden Police Station,"H.No. 61, Soman Circle, Karond, Bhopal, Madhya Pradesh",Pistol,.32 Bore Pistol,2020-11-25,2030-11-25,Active,09064771591,Male,1956-07-26,
Badal Tella,MP-BPL-2020-743966,Jahangirabad,Jahangirabad Police Station,"H.No. 215, Chowdhury Marg, Koh-e-Fiza, Bhopal, Madhya Pradesh",Rifle,9mm Pistol,2018-06-21,2028-06-21,Expired,+913580040104,Female,1959-09-07,Due to election
Shalv Sankaran,MP-BPL-2010-254887,Bagsewaniya,Bagsewaniya Police Station,"64/22, Karpe, Koh-e-Fiza, Bhopal, Madhya Pradesh",Revolver,.38 Revolver,2017-08-13,2027-08-13,Expired,+915296718839,Male,1987-02-05,Due to festival
Ranbir Dyal,MP-BPL-2022-714483,Shahpura,Shahpura Police Station,"73/144, Goda Zila, Arera Colony, Bhopal, Madhya Pradesh",Rifle,12 Bore DBBL,2019-09-13,2029-09-13,Active,3117030376,Male,1967-05-13,
Ehsaan Garde,MP-BPL-2023-930307,Ayodhya Nagar,Ayodhya Nagar Police Station,"988, Sidhu Path, Arera Colony, Bhopal, Madhya Pradesh",Pistol,.38 Revolver,2020-11-17,2030-11-17,Submitted,7281235679,Female,1989-07-08,Due to election
Vanya Iyengar,MP-BPL-2015-496764,Govindpura,Govindpura Police Station,"146, Sankar Street, Govindpura, Bhopal, Madhya Pradesh",Pistol,9mm Pistol,2020-10-19,2030-10-19,Submitted,1271130724,Female,1956-07-09,Due to order
Nitara Lanka,MP-BPL-2011-290926,Karond,Karond Police Station,"54, Maharaj Zila, Arera Colony, Bhopal, Madhya Pradesh",Air Gun,9mm Pistol,2017-01-02,2027-01-02,Submitted,06326868507,Male,1973-02-15,Due to festival
Divyansh Bakshi,MP-BPL-2014-447255,Kolar Road,Kolar Road Police Station,"66/343, Chakrabarti Marg, Ashoka Garden, Bhopal, Madhya Pradesh",Rifle,12 Bore DBBL,2020-04-08,2030-04-08,Active,9786103131,Male,1958-03-11,
Kashvi Deol,MP-BPL-2020-568325,TT Nagar,TT Nagar Police Station,"181, Chowdhury Road, Bairagarh, Bhopal, Madhya Pradesh",Pistol,9mm Pistol,2022-06-16,2032-06-16,Submitted,06134732354,Female,1995-02-26,Due to festival
Sana Agarwal,MP-BPL-2013-855408,TT Nagar,TT Nagar Police Station,"H.No. 289, Shankar Chowk, MP Nagar, Bhopal, Madhya Pradesh",Double Barrel,.22 Rifle,2020-10-08,2030-10-08,Submitted,3251225720,Male,1999-11-25,Due to festival
Aaryahi Ganesh,MP-BPL-2025-497108,Habibganj,Habibganj Police Station,"H.No. 241, Sane Street, Chhola Road, Bhopal, Madhya Pradesh",Double Barrel,.32 Bore Pistol,2015-09-28,2025-09-28,Expired,5790737100,Male,1993-03-06,Due to election
Manikya Lala,MP-BPL-2024-177289,MP Nagar,MP Nagar Police Station,"22/11, Suri Road, Govindpura, Bhopal, Madhya Pradesh",Revolver,12 Bore DBBL,2021-04-14,2031-04-14,Active,07584745705,Male,1975-01-25,
Ela Soman,MP-BPL-2012-458411,BHEL,BHEL Police Station,"97/148, Borah Nagar, Piplani, Bhopal, Madhya Pradesh",Pistol,.32 Bore Pistol,2022-07-22,2032-07-22,Active,+912570396531,Male,1967-10-07,
Navya Bhagat,MP-BPL-2020-722886,Karond,Karond Police Station,"H.No. 87, Chahal Circle, Ayodhya Nagar, Bhopal, Madhya Pradesh",Revolver,.22 Rifle,2020-02-02,2030-02-02,Expired,5569644309,Male,1989-12-19,Due to order
Manjari Bhat,MP-BPL-2023-264735,MP Nagar,MP Nagar Police Station,"79, Dhawan Path, Shahpura, Bhopal, Madhya Pradesh",Rifle,9mm Pistol,2017-06-13,2027-06-13,Revoked,+917272849824,Female,1987-09-15,Due to order
Chirag Sura,MP-BPL-2018-792687,Govindpura,Govindpura Police Station,"H.No. 07, Chopra Nagar, Govindpura, Bhopal, Madhya Pradesh",Pistol,.32 Bore Pistol,2020-05-22,2030-05-22,Active,1074065004,Female,1963-12-13,
Raunak Srivastava,MP-BPL-2014-157152,Habibganj,Habibganj Police Station,"82/14, Sha Street, TT Nagar, Bhopal, Madhya Pradesh",Double Barrel,.32 Bore Pistol,2018-12-03,2028-12-03,Active,09143075366,Female,1981-09-26,
Pranay Dora,MP-BPL-2016-201698,TT Nagar,TT Nagar Police Station,"42/96, Suri Path, Jahangirabad, Bhopal, Madhya Pradesh",Pistol,12 Bore DBBL,2017-12-10,2027-12-10,Revoked,3426834414,Female,1993-02-19,Due to election
Inaaya  Chand,MP-BPL-2019-923002,Piplani,Piplani Police Station,"61, Lall Street, Ayodhya Nagar, Bhopal, Madhya Pradesh",Double Barrel,12 Bore DBBL,2023-02-03,2033-02-03,Active,5857567667,Female,1956-06-16,
Tiya Kade,MP-BPL-2015-489043,Piplani,Piplani Police Station,"H.No. 294, Mannan Ganj, Habibganj, Bhopal, Madhya Pradesh",Pistol,.22 Rifle,2024-04-15,2034-04-15,Active,02989406260,Female,1986-01-26,
Baiju Basak,MP-BPL-2024-376195,Ashoka Garden,Ashoka Garden Police Station,"H.No. 415, Bava, Bairagarh, Bhopal, Madhya Pradesh",Air Gun,.32 Bore Pistol,2020-07-08,2030-07-08,Active,7501980382,Male,1992-10-27,
Himmat Choudhury,MP-BPL-2012-800596,Habibganj,Habibganj Police Station,"24/407, Sankaran, Chhola Road, Bhopal, Madhya Pradesh",Double Barrel,.38 Revolver,2018-12-28,2028-12-28,Active,+911029181331,Male,1986-10-24,
Dishani Kapadia,MP-BPL-2022-958160,Berasia,Berasia Police Station,"01, Jain Road, Indrapuri, Bhopal, Madhya Pradesh",Air Gun,.22 Rifle,2023-10-21,2033-10-21,Active,+913849791620,Male,1967-02-25,
Shanaya Saha,MP-BPL-2025-413369,Kolar Road,Kolar Road Police Station,"288, Khanna Ganj, Piplani, Bhopal, Madhya Pradesh",Revolver,.38 Revolver,2023-10-01,2033-10-01,Active,04197546617,Male,1982-12-12,
Hunar Atwal,MP-BPL-2013-893969,Patel Nagar,Patel Nagar Police Station,"H.No. 71, Hayer, BHEL, Bhopal, Madhya Pradesh",Pistol,9mm Pistol,2015-10-06,2025-10-06,Expired,4097052774,Male,1955-03-13,Due to election
Taimur Krishna,MP-BPL-2023-182175,Indrapuri,Indrapuri Police Station,"35/86, Balay Circle, Jahangirabad, Bhopal, Madhya Pradesh",Pistol,.38 Revolver,2018-07-18,2028-07-18,Active,2595724461,Male,1998-06-23,
Uthkarsh Keer,MP-BPL-2012-506951,Chhola Road,Chhola Road Police Station,"29/88, Bhattacharyya Road, Piplani, Bhopal, Madhya Pradesh",Air Gun,12 Bore DBBL,2021-02-01,2031-02-01,Expired,9599610023,Female,1961-02-22,Due to election
Charvi Sane,MP-BPL-2023-217984,Indrapuri,Indrapuri Police Station,"53, Ben Ganj, Koh-e-Fiza, Bhopal, Madhya Pradesh",Pistol,.38 Revolver,2018-07-15,2028-07-15,Active,6610941017,Male,1980-01-18,
Jayant Dyal,MP-BPL-2013-690016,Shahpura,Shahpura Police Station,"H.No. 762, Mall, Govindpura, Bhopal, Madhya Pradesh",Air Gun,12 Bore DBBL,2018-12-22,2028-12-22,Expired,+914774332683,Female,1960-06-05,Due to festival
Mohanlal Sami,MP-BPL-2025-699809,Karond,Karond Police Station,"H.No. 302, Gole Nagar, Ayodhya Nagar, Bhopal, Madhya Pradesh",Revolver,9mm Pistol,2022-07-08,2032-07-08,Active,8152873397,Male,1988-08-28,
Taimur Ranganathan,MP-BPL-2022-140666,Piplani,Piplani Police Station,"21/76, Vohra Marg, Arera Colony, Bhopal, Madhya Pradesh",Pistol,.32 Bore Pistol,2016-10-12,2026-10-12,Submitted,1284117309,Female,1991-05-12,Due to festival
Akarsh Choudhury,MP-BPL-2010-454278,Govindpura,Govindpura Police Station,"H.No. 46, Bandi Path, Govindpura, Bhopal, Madhya Pradesh",Rifle,.22 Rifle,2018-04-05,2028-04-05,Expired,01893898469,Male,1958-06-06,Due to election
Keya Keer,MP-BPL-2014-415076,Patel Nagar,Patel Nagar Police Station,"H.No. 00, Kade Path, Arera Colony, Bhopal, Madhya Pradesh",Rifle,.22 Rifle,2020-01-06,2030-01-06,Submitted,+915023850371,Male,1992-12-11,Due to election
Shray Banik,MP-BPL-2024-321659,Indrapuri,Indrapuri Police Station,"99, Wali Zila, Ayodhya Nagar, Bhopal, Madhya Pradesh",Air Gun,12 Bore DBBL,2023-09-20,2033-09-20,Expired,+914010783567,Male,1975-03-23,Due to election
Akarsh Bala,MP-BPL-2019-844037,Berasia,Berasia Police Station,"H.No. 389, Sanghvi Marg, Piplani, Bhopal, Madhya Pradesh",Pistol,.38 Revolver,2015-11-19,2025-11-19,Expired,7066266821,Male,1984-05-18,Due to election
Mannat Zacharia,MP-BPL-2016-973390,Jahangirabad,Jahangirabad Police Station,"H.No. 53, Kamdar Path, MP Nagar, Bhopal, Madhya Pradesh",Pistol,.32 Bore Pistol,2016-07-23,2026-07-23,Active,+913190368900,Female,1971-08-01,
Dhanuk Balakrishnan,MP-BPL-2016-387286,Habibganj,Habibganj Police Station,"724, Dugar Nagar, Patel Nagar, Bhopal, Madhya Pradesh",Air Gun,.22 Rifle,2021-07-10,2031-07-10,Submitted,3429671114,Male,1991-07-28,Due to order
Bhamini Sastry,MP-BPL-2010-353690,Habibganj,Habibganj Police Station,"53/745, Dhingra Circle, Ayodhya Nagar, Bhopal, Madhya Pradesh",Air Gun,.22 Rifle,2019-09-24,2029-09-24,Active,4588105697,Female,1973-08-13,
Lagan Biswas,MP-BPL-2021-460971,BHEL,BHEL Police Station,"34/83, Grewal Zila, Bairagarh, Bhopal, Madhya Pradesh",Revolver,12 Bore DBBL,2017-12-28,2027-12-28,Active,+913771070449,Male,1980-09-19,
Dharmajan Balan,MP-BPL-2015-995296,Bagsewaniya,Bagsewaniya Police Station,"H.No. 96, Andra Chowk, Jahangirabad, Bhopal, Madhya Pradesh",Pistol,9mm Pistol,2022-01-31,2032-01-31,Submitted,07033626804,Female,1956-09-15,Due to order
Anay Ramanathan,MP-BPL-2023-638214,TT Nagar,TT Nagar Police Station,"H.No. 49, Shukla Ganj, TT Nagar, Bhopal, Madhya Pradesh",Double Barrel,9mm Pistol,2016-01-15,2026-01-15,Submitted,09660186487,Male,1983-06-02,Due to election
Ishaan Halder,MP-BPL-2018-737894,Govindpura,Govindpura Police Station,"32, Dey Nagar, Bairagarh, Bhopal, Madhya Pradesh",Double Barrel,.22 Rifle,2020-03-30,2030-03-30,Expired,+913845960945,Female,1972-11-11,Due to festival
Vardaniya Sachdeva,MP-BPL-2016-589368,Govindpura,Govindpura Police Station,"01/49, Toor Path, Berasia, Bhopal, Madhya Pradesh",Air Gun,.22 Rifle,2020-01-28,2030-01-28,Active,+917707070578,Male,1969-05-26,
Bhavin Mann,MP-BPL-2021-688730,Karond,Karond Police Station,"H.No. 498, Balay Path, Karond, Bhopal, Madhya Pradesh",Rifle,12 Bore DBBL,2023-01-25,2033-01-25,Submitted,+914447232290,Female,1970-05-30,Due to election
Neysa Bahl,MP-BPL-2020-389913,Arera Colony,Arera Colony Police Station,"879, Bail Path, Bairagarh, Bhopal, Madhya Pradesh",Rifle,12 Bore DBBL,2019-06-15,2029-06-15,Active,+914405809351,Male,1959-11-06,
Faiyaz Kumer,MP-BPL-2011-944554,Karond,Karond Police Station,"H.No. 335, Grewal, Piplani, Bhopal, Madhya Pradesh",Rifle,9mm Pistol,2022-08-26,2032-08-26,Submitted,+916420595565,Female,1986-08-09,Due to festival
Misha Aurora,MP-BPL-2018-538897,Piplani,Piplani Police Station,"504, Rajagopal Street, Piplani, Bhopal, Madhya Pradesh",Revolver,.38 Revolver,2016-01-04,2026-01-04,Submitted,+919358895369,Male,1956-10-17,Due to festival
Vaibhav Singh,MP-BPL-2017-819656,Chhola Road,Chhola Road Police Station,"11/398, Rau, Ayodhya Nagar, Bhopal, Madhya Pradesh",Rifle,.38 Revolver,2022-09-08,2032-09-08,Active,1809788754,Male,1967-11-06,
Nirvaan Gala,MP-BPL-2015-408054,Shahpura,Shahpura Police Station,"537, Shere Path, Ayodhya Nagar, Bhopal, Madhya Pradesh",Pistol,12 Bore DBBL,2017-07-16,2027-07-16,Submitted,3765158815,Male,1999-01-13,Due to order
Lavanya Contractor,MP-BPL-2020-786224,Kolar Road,Kolar Road Police Station,"63, Thaker, Ashoka Garden, Bhopal, Madhya Pradesh",Rifle,9mm Pistol,2017-09-15,2027-09-15,Submitted,3692944551,Female,1960-02-14,Due to festival
Aaina Krishnan,MP-BPL-2020-489737,Bairagarh,Bairagarh Police Station,"973, Vora Street, Bagsewaniya, Bhopal, Madhya Pradesh",Rifle,.22 Rifle,2023-04-20,2033-04-20,Expired,+912164871206,Female,1956-03-15,Due to election
Devansh Bhatti,MP-BPL-2012-595158,Jahangirabad,Jahangirabad Police Station,"86/65, Iyer Street, Berasia, Bhopal, Madhya Pradesh",Revolver,.22 Rifle,2019-09-07,2029-09-07,Active,4155999101,Female,1978-09-24,
Yuvraj  Rau,MP-BPL-2011-995735,Koh-e-Fiza,Koh-e-Fiza Police Station,"64, Sarma Chowk, Koh-e-Fiza, Bhopal, Madhya Pradesh",Pistol,12 Bore DBBL,2017-11-12,2027-11-12,Active,2981209957,Female,1980-05-23,
Advika Chakrabarti,MP-BPL-2014-431752,BHEL,BHEL Police Station,"94/13, Koshy Road, Kolar Road, Bhopal, Madhya Pradesh",Double Barrel,12 Bore DBBL,2021-05-18,2031-05-18,Submitted,+919889864565,Male,1966-09-19,Due to festival
Arnav Talwar,MP-BPL-2011-104942,Patel Nagar,Patel Nagar Police Station,"36/849, Dugar, Bairagarh, Bhopal, Madhya Pradesh",Pistol,9mm Pistol,2017-04-08,2027-04-08,Active,04214477324,Male,1972-03-25,
Mehul Sama,MP-BPL-2025-923353,Kolar Road,Kolar Road Police Station,"H.No. 21, Majumdar Ganj, Koh-e-Fiza, Bhopal, Madhya Pradesh",Air Gun,.22 Rifle,2024-03-24,2034-03-24,Submitted,+910908830705,Female,1968-05-26,Due to festival
Kaira Kala,MP-BPL-2025-501936,TT Nagar,TT Nagar Police Station,"78/274, Sehgal Zila, MP Nagar, Bhopal, Madhya Pradesh",Air Gun,9mm Pistol,2017-08-13,2027-08-13,Submitted,06741241513,Male,1959-08-20,Due to festival
Indranil Kulkarni,MP-BPL-2016-118786,TT Nagar,TT Nagar Police Station,"H.No. 47, Samra Circle, Ashoka Garden, Bhopal, Madhya Pradesh",Pistol,12 Bore DBBL,2016-11-01,2026-11-01,Active,5061853800,Male,1971-04-24,
Khushi Guha,MP-BPL-2022-627786,Bagsewaniya,Bagsewaniya Police Station,"347, Kibe Street, Govindpura, Bhopal, Madhya Pradesh",Pistol,.32 Bore Pistol,2018-10-04,2028-10-04,Expired,7423183061,Female,1987-12-20,Due to festival
Rhea Chakraborty,MP-BPL-2024-863187,Berasia,Berasia Police Station,"H.No. 649, Raval Marg, Karond, Bhopal, Madhya Pradesh",Air Gun,12 Bore DBBL,2019-07-27,2029-07-27,Active,5782434776,Male,1995-04-05,
Inaaya  Khosla,MP-BPL-2020-613989,Habibganj,Habibganj Police Station,"H.No. 13, Wadhwa Zila, Jahangirabad, Bhopal, Madhya Pradesh",Pistol,.22 Rifle,2020-06-18,2030-06-18,Active,07536127515,Male,1981-08-31,
Urvi Wadhwa,MP-BPL-2014-321449,TT Nagar,TT Nagar Police Station,"79, Sankar Marg, Bagsewaniya, Bhopal, Madhya Pradesh",Air Gun,9mm Pistol,2019-07-28,2029-07-28,Active,+914483608545,Male,1982-07-24,
Zoya Kant,MP-BPL-2022-771425,Bairagarh,Bairagarh Police Station,"64, Desai Nagar, Chhola Road, Bhopal, Madhya Pradesh",Air Gun,.32 Bore Pistol,2023-11-01,2033-11-01,Active,3504763928,Male,1968-08-10,
Mannat Ramaswamy,MP-BPL-2013-785315,TT Nagar,TT Nagar Police Station,"H.No. 29, Anne Circle, MP Nagar, Bhopal, Madhya Pradesh",Revolver,.22 Rifle,2015-12-08,2025-12-08,Active,01558108358,Male,1968-01-30,
Heer Hora,MP-BPL-2018-597440,Koh-e-Fiza,Koh-e-Fiza Police Station,"34/255, Chokshi Marg, Jahangirabad, Bhopal, Madhya Pradesh",Revolver,12 Bore DBBL,2019-10-22,2029-10-22,Active,+910081867024,Male,1975-02-02,
Manikya Raval,MP-BPL-2018-753050,Karond,Karond Police Station,"30/416, Bhatti Marg, Koh-e-Fiza, Bhopal, Madhya Pradesh",Double Barrel,.32 Bore Pistol,2020-03-02,2030-03-02,Active,+911186008921,Male,1994-08-08,
Kartik Thakur,MP-BPL-2019-219550,Shahpura,Shahpura Police Station,"45/68, Dora Nagar, Ayodhya Nagar, Bhopal, Madhya Pradesh",Pistol,.38 Revolver,2020-03-27,2030-03-27,Active,03149764613,Female,1982-03-24,
Anya Dhar,MP-BPL-2016-475308,Indrapuri,Indrapuri Police Station,"88/360, Seth Chowk, Govindpura, Bhopal, Madhya Pradesh",Pistol,.32 Bore Pistol,2022-04-10,2032-04-10,Active,08173906375,Male,1987-01-09,
Nayantara Dugal,MP-BPL-2025-446663,Ashoka Garden,Ashoka Garden Police Station,"H.No. 21, Mand Zila, TT Nagar, Bhopal, Madhya Pradesh",Revolver,.32 Bore Pistol,2018-06-15,2028-06-15,Expired,+917931269789,Female,1970-05-24,Due to election
Tiya Koshy,MP-BPL-2012-917392,Berasia,Berasia Police Station,"H.No. 64, Tiwari Path, Kolar Road, Bhopal, Madhya Pradesh",Revolver,12 Bore DBBL,2018-02-19,2028-02-19,Submitted,+915996043878,Female,1988-08-02,Due to festival
